pid,name,cpu_usage,memory_usage,read_bytes,write_bytes,status,create_time,nice,n_threads,cores
3432,chrome.exe,0.0,10.29MB,1.31MB,1.66MB,running,2021-03-17 13:35:41,64,14,4
7388,chrome.exe,0.0,10.51MB,2.85MB,4.14MB,running,2021-03-17 13:12:28,64,14,4
11920,chrome.exe,0.0,10.61MB,1.33MB,2.12MB,running,2021-03-17 13:41:28,64,14,4
16408,AcroRd32.exe,0.0,10.98MB,3.69MB,0.00B,running,2021-03-17 16:55:22,32,5,4
12336,YourPhone.exe,0.0,12.21MB,187.09KB,0.00B,stopped,2021-03-17 10:58:36,32,16,4
1172,Teams.exe,0.0,13.56MB,1.57MB,1017.59KB,running,2021-03-16 22:22:37,32,16,4
11728,brave.exe,0.0,13.77MB,432.24KB,461.46KB,running,2021-03-17 15:48:50,64,13,4
636,chrome.exe,0.0,13.97MB,10.13MB,5.18MB,running,2021-03-17 11:00:10,32,14,4
11900,chrome.exe,0.0,14.22MB,162.43MB,530.16MB,running,2021-03-17 11:00:10,32,11,4
9020,chrome.exe,0.0,15.67MB,2.34MB,4.45MB,running,2021-03-17 17:04:06,64,15,4
7484,StartMenuExperienceHost.exe,0.0,15.73MB,278.61KB,0.00B,running,2021-03-16 22:20:30,32,6,4
13012,brave.exe,0.0,16.42MB,3.56MB,2.35MB,running,2021-03-17 11:07:37,32,13,4
14044,brave.exe,0.0,17.79MB,860.51KB,1.06MB,running,2021-03-17 17:01:08,64,13,4
14668,brave.exe,0.1,18.93MB,775.84KB,1.35MB,running,2021-03-17 15:50:29,64,13,4
8636,brave.exe,0.0,22.35MB,561.96KB,781.52KB,running,2021-03-17 15:50:20,64,13,4
16036,wps.exe,0.0,22.86MB,645.51MB,12.37KB,running,2021-03-17 16:47:50,32,21,4
2808,SystemSettings.exe,0.0,23.09MB,22.37KB,7.01KB,stopped,2021-03-17 16:56:46,32,25,4
11672,chrome.exe,0.0,26.17MB,2.82MB,3.35MB,running,2021-03-17 15:12:58,64,14,4
15520,brave.exe,0.0,27.32MB,1.21MB,3.64MB,running,2021-03-17 15:51:10,64,13,4
13268,RelayRecorder.exe,0.5,27.53MB,1.70MB,4.83MB,running,2021-03-17 12:20:34,32,19,4
4056,ShellExperienceHost.exe,0.0,27.93MB,361.50KB,0.00B,stopped,2021-03-17 09:31:52,32,34,4
188,brave.exe,0.0,28.42MB,1.51MB,2.04MB,running,2021-03-17 16:38:20,64,13,4
2720,brave.exe,0.0,28.55MB,980.60KB,1.71MB,running,2021-03-17 15:51:03,64,13,4
9300,brave.exe,0.0,28.79MB,4.53MB,5.41MB,running,2021-03-17 16:39:16,64,15,4
5892,brave.exe,0.0,29.02MB,4.61MB,4.28MB,running,2021-03-17 15:14:32,64,14,4
15492,brave.exe,0.0,30.00MB,825.83KB,1.02MB,running,2021-03-17 15:50:26,64,13,4
16724,RdrCEF.exe,0.0,30.17MB,196.99KB,290.82KB,running,2021-03-17 16:42:59,32,11,4
12868,brave.exe,0.0,30.29MB,6.24MB,12.91MB,running,2021-03-17 11:07:37,32,13,4
10252,chrome.exe,0.0,30.34MB,1.07MB,2.46MB,running,2021-03-17 15:13:13,64,14,4
11892,Microsoft.Photos.exe,0.0,30.80MB,7.08MB,373.08KB,stopped,2021-03-17 16:18:06,32,21,4
2464,brave.exe,0.0,30.90MB,2.94MB,2.92MB,running,2021-03-17 15:50:38,64,13,4
14708,brave.exe,0.1,33.85MB,828.21KB,1.04MB,running,2021-03-17 15:14:53,64,13,4
16656,et.exe,0.0,35.49MB,26.74MB,332.18KB,running,2021-03-17 16:47:50,32,21,4
6384,python.exe,17.7,37.14MB,8.01MB,55.99KB,running,2021-03-17 17:45:40,32,7,4
14520,RdrCEF.exe,0.0,41.12MB,383.62KB,340.52KB,running,2021-03-17 16:42:51,32,11,4
8996,Teams.exe,0.0,46.49MB,58.46MB,3.92MB,running,2021-03-16 22:23:07,32,52,4
1200,explorer.exe,8.0,49.57MB,99.49MB,282.23MB,running,2021-03-16 22:19:59,32,114,4
5604,Teams.exe,0.0,61.15MB,118.14MB,18.43MB,running,2021-03-16 22:22:34,32768,15,4
10704,chrome.exe,0.0,64.64MB,283.90MB,273.20MB,running,2021-03-17 11:03:26,64,15,4
2388,Teams.exe,1.3,65.71MB,517.26MB,110.18MB,running,2021-03-16 22:22:29,32,35,4
1656,Teams.exe,0.0,65.82MB,12.59MB,23.08MB,running,2021-03-16 22:23:05,32,12,4
13844,chrome.exe,0.0,72.77MB,405.65MB,76.29MB,running,2021-03-17 11:00:10,32768,18,4
10404,chrome.exe,0.0,78.29MB,1.48GB,1.04GB,running,2021-03-17 11:00:09,32,25,4
13704,AcroRd32.exe,0.1,93.72MB,111.33MB,88.38MB,running,2021-03-17 16:42:45,32,15,4
8724,brave.exe,0.0,97.51MB,214.72MB,42.01MB,running,2021-03-17 11:07:37,32768,14,4
7828,SearchApp.exe,0.0,159.20MB,38.11MB,13.17MB,stopped,2021-03-16 22:20:35,32,64,4
308,brave.exe,0.0,174.16MB,220.61MB,365.70MB,running,2021-03-17 11:07:37,32,27,4
16500,brave.exe,0.0,196.01MB,75.04MB,87.16MB,running,2021-03-17 17:01:06,64,19,4
4248,Teams.exe,0.1,225.36MB,56.83MB,126.40MB,running,2021-03-16 22:22:38,32,19,4
8072,chrome.exe,0.0,229.60MB,132.59MB,124.85MB,running,2021-03-17 11:00:15,64,18,4
12480,pycharm64.exe,2.7,928.46MB,397.04MB,482.87MB,running,2021-03-17 15:00:48,32,56,4
4,System,0.3,0.00B,83.01MB,1.50GB,running,1970-01-01 05:30:00,0,159,0
4260,Video.UI.exe,0.0,0.00B,9.29MB,832.00KB,stopped,2021-03-17 15:08:24,32,14,4
4236,svchost.exe,0.0,0.00B,124.88KB,0.00B,running,2021-03-16 22:19:57,0,9,0
4216,armsvc.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:03,0,2,0
4176,valWBFPolicyService.exe,0.0,0.00B,0.00B,642.00B,running,2021-03-16 22:19:03,0,2,0
4152,svchost.exe,0.0,0.00B,281.91KB,128.91KB,running,2021-03-16 22:19:03,0,7,0
4112,svchost.exe,0.0,0.00B,43.50KB,0.00B,running,2021-03-16 22:19:03,0,3,0
4100,svchost.exe,0.0,0.00B,169.94KB,287.17KB,running,2021-03-16 22:19:03,0,6,0
4036,ERAAgent.exe,0.3,0.00B,49.35MB,38.75MB,running,2021-03-16 22:19:03,0,25,0
4028,fpCSEvtSvc.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:03,0,3,0
4016,svchost.exe,0.0,0.00B,12.94MB,4.89MB,running,2021-03-16 22:19:03,0,10,0
4008,svchost.exe,0.0,0.00B,172.95MB,89.10MB,running,2021-03-16 22:19:03,0,17,0
3996,svchost.exe,0.0,0.00B,1.79MB,781.46KB,running,2021-03-16 22:19:03,0,8,0
3920,WmiPrvSE.exe,0.0,0.00B,2.04MB,428.11KB,running,2021-03-16 22:19:03,0,8,0
3904,svchost.exe,0.0,0.00B,52.73KB,85.83KB,running,2021-03-16 22:19:03,0,5,0
4264,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:03,0,9,0
3872,svchost.exe,0.0,0.00B,1.17MB,0.00B,running,2021-03-16 22:19:02,0,5,0
3508,scheduler.exe,0.0,0.00B,1.73MB,0.00B,running,2021-03-16 22:19:01,0,5,0
3484,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:03,0,1,0
3468,svchost.exe,0.0,0.00B,3.23KB,0.00B,running,2021-03-16 22:27:13,0,2,0
3412,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:01,0,4,0
3408,SynTPEnhService.exe,0.0,0.00B,10.00B,4.00B,running,2021-03-16 22:19:03,0,3,0
3348,svchost.exe,0.0,0.00B,220.11KB,160.00B,running,2021-03-16 22:19:00,0,12,0
3300,svchost.exe,0.0,0.00B,56.02KB,0.00B,running,2021-03-16 22:19:00,0,7,0
3204,svchost.exe,0.0,0.00B,28.84KB,0.00B,running,2021-03-16 22:19:03,0,3,0
3120,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:59,0,3,0
3068,svchost.exe,0.0,0.00B,0.00B,4.68MB,running,2021-03-16 22:18:59,0,12,0
3052,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:59,0,11,0
3044,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:18:59,0,5,0
2988,svchost.exe,0.0,0.00B,56.02KB,0.00B,running,2021-03-16 22:19:03,0,6,0
2940,svchost.exe,0.0,0.00B,9.45MB,2.99MB,running,2021-03-16 22:18:59,0,8,0
3808,spoolsv.exe,0.0,0.00B,232.00B,320.00B,running,2021-03-16 22:19:02,0,7,0
4304,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:03,0,2,0
4452,unsecapp.exe,0.0,0.00B,80.00B,56.00B,running,2021-03-16 22:19:03,0,3,0
4536,WmiPrvSE.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-16 22:19:03,0,6,0
18148,svchost.exe,0.0,0.00B,2.87KB,0.00B,running,2021-03-17 17:21:52,0,3,0
16308,svchost.exe,0.0,0.00B,4.13KB,160.00B,running,2021-03-17 15:15:18,0,4,0
16240,svchost.exe,0.0,0.00B,1.42MB,376.00KB,running,2021-03-17 15:18:22,0,4,0
13476,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-17 09:28:47,0,6,0
12904,SearchProtocolHost.exe,0.0,0.00B,340.61KB,0.00B,running,2021-03-17 17:44:10,0,6,0
11612,svchost.exe,0.0,0.00B,2.97KB,0.00B,running,2021-03-17 16:38:03,0,2,0
9688,svchost.exe,0.0,0.00B,40.00B,28.00B,running,2021-03-17 11:03:31,0,2,0
9252,svchost.exe,0.0,0.00B,703.86KB,50.49KB,running,2021-03-17 09:59:34,0,4,0
9068,svchost.exe,0.0,0.00B,4.72KB,32.00KB,running,2021-03-16 22:23:28,0,6,0
8856,GoogleCrashHandler64.exe,0.0,0.00B,436.00B,320.00B,running,2021-03-16 22:21:39,0,3,0
8660,GoogleCrashHandler.exe,0.0,0.00B,2.84KB,1.49KB,running,2021-03-16 22:21:34,0,3,0
8632,svchost.exe,0.0,0.00B,0.00B,0.00B,running,2021-03-17 09:28:17,0,3,0
8528,SgrmBroker.exe,0.0,0.00B,80.78KB,0.00B,running,2021-03-16 22:23:06,0,7,0
